"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","预订接口","1","0","创建预定","0"
"0","","0","预订接口","1","0","更新预定","0"
"0","","0","预订接口","1","0","删除预定","0"
"0","","0","预订接口","1","0","查询预定","0"
